bass=565
bassline=122
basses=17
basslines=6
basss=4
bassy=4
subbass=3
bassnectar=2
bassss=2
basswork=2
8bassmask8=1
Belzebass=1
Subass=1
bassdrum=1
basseline=1
bassen=1
bassey=1
bassface=1
bassilne=1
basssss=1
bassssss=1
basssssssssssssssssssssssssssssssssssssssssssssssssssss=1
catalystbassmusic=1
dropbass=1
drumnbass=1
fatbass=1
javabass=1
meanbasses=1
midbass=1
