66145067	HTTPSConnectionPool(host='api.soundcloud.com', port=443): Max retries exceeded with url: /users/66145067/favorites.json?client_id=68b18cab0f8633ff354b6c19296b5b5d (Caused by <class 'socket.error'>: [Errno 110] Connection timed out)
66934740	404 Client Error: Not Found
7233584	HTTPSConnectionPool(host='api.soundcloud.com', port=443): Max retries exceeded with url: /users/7233584/favorites.json?client_id=68b18cab0f8633ff354b6c19296b5b5d (Caused by <class 'socket.error'>: [Errno 110] Connection timed out)
46126055	500 Server Error: Internal Server Error
2610049	HTTPSConnectionPool(host='api.soundcloud.com', port=443): Max retries exceeded with url: /users/2610049/favorites.json?client_id=68b18cab0f8633ff354b6c19296b5b5d (Caused by <class 'socket.error'>: [Errno 110] Connection timed out)
24004486	404 Client Error: Not Found
40771178	HTTPSConnectionPool(host='api.soundcloud.com', port=443): Max retries exceeded with url: /users/40771178/favorites.json?client_id=68b18cab0f8633ff354b6c19296b5b5d (Caused by <class 'socket.error'>: [Errno 110] Connection timed out)
1558483	HTTPSConnectionPool(host='api.soundcloud.com', port=443): Max retries exceeded with url: /users/1558483/favorites.json?client_id=68b18cab0f8633ff354b6c19296b5b5d (Caused by <class 'socket.error'>: [Errno 110] Connection timed out)
9721752	HTTPSConnectionPool(host='api.soundcloud.com', port=443): Max retries exceeded with url: /users/9721752/favorites.json?client_id=68b18cab0f8633ff354b6c19296b5b5d (Caused by <class 'socket.error'>: [Errno 110] Connection timed out)
41272454	HTTPSConnectionPool(host='api.soundcloud.com', port=443): Max retries exceeded with url: /users/41272454/favorites.json?client_id=68b18cab0f8633ff354b6c19296b5b5d (Caused by <class 'socket.error'>: [Errno 110] Connection timed out)
1083100	404 Client Error: Not Found
32826772	HTTPSConnectionPool(host='api.soundcloud.com', port=443): Max retries exceeded with url: /users/32826772/favorites.json?client_id=68b18cab0f8633ff354b6c19296b5b5d (Caused by <class 'socket.error'>: [Errno 110] Connection timed out)
35568937	500 Server Error: Internal Server Error
75347850	404 Client Error: Not Found
84190327	HTTPSConnectionPool(host='api.soundcloud.com', port=443): Max retries exceeded with url: /users/84190327/favorites.json?client_id=68b18cab0f8633ff354b6c19296b5b5d (Caused by <class 'socket.error'>: [Errno 110] Connection timed out)
17976125	HTTPSConnectionPool(host='api.soundcloud.com', port=443): Max retries exceeded with url: /users/17976125/favorites.json?client_id=68b18cab0f8633ff354b6c19296b5b5d (Caused by <class 'socket.error'>: [Errno 110] Connection timed out)
