 ~1510837
e~897590
a~693936
o~681675
i~600908
t~580404
n~523465
s~497497
r~474987
l~366679
h~322528
u~299925
d~284370
c~276798
m~252905
y~178487
g~170126
.~164338
k~160758
p~154559
!~152706
b~130558
f~129652
w~121674
;~97970
&~97400
:~91253
#~91211
v~90462
-~86560
1~83895
T~76845
S~72860
D~71519
A~69541
M~62304
0~62228
I~59746
"
"~56578
E~55862
R~54510
O~54394
7~54168
)~51901
/~50959
6~49681
,~47249
x~47059
L~45331
B~44724
2~44204
N~43687
@~43458
C~42790
""~42177
9~41915
3~40242
j~40096
8~39932
z~36904
P~35305
5~33342
G~32903
F~32707
H~31966
4~27993
K~27047
J~25538
W~22414
'~22400
(~20438
U~18224
_~18090
Y~17484
V~17058
""""~12093
q~10211
?~8952
Z~7807
X~6494
=~6118
<~5796
]~5355
[~5082
*~4740
Q~3166
>~2797
|~2410
^~1896
	~1475
+~1415
"~"~1207
$~1056
\~859
`~588
%~586
}~146
{~113
~20
~3
