cc-by-sa,deep house,Electronic,0.4,http://soundcloud.com/general-taco/voices-of-the-forgotten,86150839,2,2
cc-by,deep house,Urban,0.6,http://soundcloud.com/spizzone1/spark1ne-prime-primetime-1,100931462,5,5
cc-by-nc-nd,deep house,Guitar,0.6,http://soundcloud.com/pascal-grandjean/bluebird,112600148,1,1
cc-by,deep house,Tech House,35.4,http://soundcloud.com/tekirauzi/luomo-tessio-teki-rauzi-remix,100936178,57,57
cc-by-nd,deep house,Psydub,55.4,http://soundcloud.com/globular/02-globular-fractalicious,40588210,5,5
cc-by-sa,deep house,None,115.6,http://soundcloud.com/tarekynwa8-1/emshy-3ala-remshi-mariam-saleh,86234828,3,3
cc-by-nc-nd,deep house,Trip-Hop,338.8,http://soundcloud.com/groove-cereal/take-time-ft-ashly-burch,116776151,30,30
cc-by-nc-sa,deep house,2 Chainz,1524.4,http://soundcloud.com/xjomama/2-chainz-livin-feat-iamsu,109214495,43,42
cc-by,disco,en mä oikeesti tykkää puurosta ;__;,0,http://soundcloud.com/eternal-es/nelj-n-marjan-aamupuuro,98808727,1,1
cc-by-nc-sa,disco,Progressive Metal,0,http://soundcloud.com/celestialorb/lateralus-by-tool-guitar-cover,121311314,1,1
cc-by-nd,disco,Hip-hop/rap,0,http://soundcloud.com/ozzy-quiroz/somos-soldados-mix-tape-2005,84524997,1,1
cc-by-nc-nd,disco,Chillout,1.8,http://soundcloud.com/jzeitschel/the-ocean,126219446,1,1
cc-by-nc-nd,disco,Hardstyle,72.4,http://soundcloud.com/ab7alon-muzic-ii/ran-d-digital-punk-born-to-die,126082937,4,4
cc-by-nd,disco,Deep House / Indie Nu-Disco,131.4,http://soundcloud.com/alexunderbase/alexunder-base-alexknight-winterpodcast-2012,71076596,72,70
cc-by,disco,Mid Tempo Groove ,305.6,http://soundcloud.com/breakzlinkz/pecoe-another-one-bites-the,98931310,23,23
cc-by-nc-sa,disco,digital,328,http://soundcloud.com/digitalsteppaz/super-cat-too-greedy-chalice,122742902,23,22
cc-by-nc-sa,drum & bass,Hip-Hop,0,http://soundcloud.com/t-d-d-m/in-the-flame-snippet,99864583,1,0
cc-by-sa,drum & bass,Hip Hop,0,http://soundcloud.com/eklips3/my-bros,85037764,1,1
cc-by,drum & bass,House,0.6,http://soundcloud.com/emmantorc/sabor-a-verano-lado-b-preview,100477495,1,1
cc-by-nc-nd,drum & bass,Piano,0.6,http://soundcloud.com/rune-x/rune-x-winter-solstice-part-i,126048509,1,1
cc-by-nc-nd,drum & bass,No Maka Rec,11.4,http://soundcloud.com/djjoelsantos/dj-flavex-joel-santos-quebra,123541587,26,25
cc-by-sa,drum & bass,crunk,99.6,http://soundcloud.com/cupcakesmusic/cc008,114743276,10,10
cc-by,drum & bass,soul,458.4,http://soundcloud.com/suddenlyseptembermusic/daylight,100427017,69,69
cc-by-nc-sa,drum & bass,Mashup,2187,http://soundcloud.com/isosine/far-from-over,126379561,72,70
cc-by,dubstep,Instrumental,0,http://soundcloud.com/blah-kesto/ex-nihilo,110282542,1,1
cc-by-nc-sa,dubstep,Nudisco,0,http://soundcloud.com/omo-edm/lerl,121458289,1,1
