electronic~683
dubstep~255
house~172
progressivehouse~74
drumbass~55
electro~48
techno~42
deephouse~24
trance~18
hardstyle~15
dance~11
techhouse~10
hiphop~8
trap~8
minimaltechno~7
ambient~5
grime~5
techstep~5
chiptune~4
breakbeat~3
downtempo~2
microhouse~2
moombahton~2
neurofunk~2
rb~2
spoken~2
dancepop~1
disco~1
dreampop~1
electrohouse~1
electronicrock~1
hardcoretechno~1
hardtechno~1
noise~1
pop~1
triphop~1
